index_col,Company,TypeName,Inches,screen_size,resolution_width,resolution_height,ips_panel,touchscreen,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,OpSys,Weight,price,ppi
1,HP,Ultrabook,12.5,small,3840,2160,1,1,Intel,Core M,1.2,8,SSD,512,0,Intel,windows,0.97,9442.928,352
2,Asus,Notebook,17.3,large,1920,1080,0,0,Intel,Core i7,1.8,8,Hybrid,128,1024,Nvidia,windows,2.1,5368.528,127
3,Apple,Ultrabook,13.3,small,2560,1600,1,0,Intel,Core i5,2.3,8,SSD,128,0,Intel,macos,1.37,6281.352,227
4,Asus,Notebook,17.3,large,1366,768,0,0,Intel,Pentium Quad,1.1,4,HDD,1024,0,Nvidia,windows,2.8,2184.864,91
5,Asus,Notebook,15.6,medium,1920,1080,0,0,Intel,Celeron Dual,1.1,4,HDD,1024,0,Intel,windows,2,1612.864,141
6,Acer,Notebook,15.6,medium,1366,768,0,0,Intel,Core i3,2,4,HDD,1024,0,Intel,windows,2.1,2095.808,100
7,Dell,Gaming,15.6,medium,1920,1080,0,0,Intel,Core i7,2.8,16,SSD,512,0,Nvidia,windows,2.56,5857.368,141
8,Apple,Ultrabook,13.3,small,1440,900,0,0,Intel,Core i5,1.8,8,Flash Storage,128,0,Intel,macos,1.34,4214.848,128
9,Dell,Gaming,15.6,medium,1920,1080,0,0,Intel,Core i7,2.8,8,Hybrid,1024,0,Nvidia,windows,2.62,4215.112,141
10,Asus,Notebook,17.3,large,1920,1080,0,0,Intel,Core i7,2.7,8,Hybrid,128,1024,Nvidia,N/A,2.69,4168.208,127
11,Acer,Notebook,15.6,medium,1920,1080,1,0,Intel,Core i7,1.8,8,SSD,256,0,Nvidia,windows,2.2,3943.104,141
12,Lenovo,Notebook,15.6,medium,1366,768,0,0,Intel,Core i5,2.5,4,SSD,128,0,Intel,windows,1.9,2334.904,100
